PHASE 1 - opencl_workload_hello_world,hello_world_load,hello_world_load,1,0,316.681
PHASE 1 - opencl_workload_hello_world,hello_world_setup,hello_world_setup,1,0,0.030471
PHASE 1 - opencl_workload_hello_world,hello_world_run,Kernel execution [QUEUE to SUBMIT],0,1,0.001966
PHASE 1 - opencl_workload_hello_world,hello_world_run,Kernel execution [SUBMIT to START],0,1,0.059462
PHASE 1 - opencl_workload_hello_world,hello_world_run,Kernel execution [QUEUE to END],0,1,0.078748
PHASE 1 - opencl_workload_hello_world,hello_world_run,Kernel execution [EXECUTION],0,0,0.01732
PHASE 1 - opencl_workload_hello_world,hello_world_run,Buffer read [QUEUE to SUBMIT],0,1,0.000645
PHASE 1 - opencl_workload_hello_world,hello_world_run,Buffer read [SUBMIT to START],0,1,0.013757
PHASE 1 - opencl_workload_hello_world,hello_world_run,Buffer read [QUEUE to END],0,1,0.015657
PHASE 1 - opencl_workload_hello_world,hello_world_run,Buffer read [EXECUTION],0,0,0.001255
PHASE 1 - opencl_workload_hello_world,hello_world_run,hello_world_run,1,0,0.175837
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.007103
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.002175
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001581
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001388
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001369
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001386
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001366
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001369
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001368
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001377
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001367
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001367
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001365
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001366
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001363
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001365
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001363
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001371
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001361
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001362
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001361
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001364
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001363
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001365
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001365
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001365
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001367
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001369
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001367
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001371
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001369
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001366
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001365
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001374
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001365
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001365
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001364
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001364
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001361
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001362
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001363
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001365
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001363
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001365
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001365
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001365
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001366
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001367
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001366
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.001368
PHASE 2 - opencl_workload_add_matrix,add_matrix_initialize,add_matrix_initialize,1,0,68.4297
PHASE 2 - opencl_workload_add_matrix,add_matrix_initialize,Pipeline | matrix one write [QUEUE to SUBMIT],0,1,0.002216
PHASE 2 - opencl_workload_add_matrix,add_matrix_initialize,Pipeline | matrix one write [QUEUE to SUBMIT],0,1,0.000571
PHASE 2 - opencl_workload_add_matrix,add_matrix_initialize,Pipeline | matrix one write [QUEUE to SUBMIT],0,1,0.00051
PHASE 2 - opencl_workload_add_matrix,add_matrix_initialize,Pipeline | matrix one write [QUEUE to SUBMIT],0,1,0.000493
PHASE 2 - opencl_workload_add_matrix,add_matrix_initialize,Pipeline | matrix one write [QUEUE to SUBMIT],0,1,0.000533
PHASE 2 - opencl_workload_add_matrix,add_matrix_initialize,Pipeline | matrix one write [QUEUE to SUBMIT],0,1,0.000496
