PHASE 1 - opencl_workload_hello_world,hello_world_load,hello_world_load,1,0,95.8911
PHASE 1 - opencl_workload_hello_world,hello_world_setup,hello_world_setup,1,0,0.003616
PHASE 1 - opencl_workload_hello_world,hello_world_run,Kernel execution [QUEUE to SUBMIT],0,1,0.00256
PHASE 1 - opencl_workload_hello_world,hello_world_run,Kernel execution [SUBMIT to START],0,1,0.004896
PHASE 1 - opencl_workload_hello_world,hello_world_run,Kernel execution [QUEUE to END],0,1,0.022016
PHASE 1 - opencl_workload_hello_world,hello_world_run,Kernel execution [EXECUTION],0,0,0.01456
PHASE 1 - opencl_workload_hello_world,hello_world_run,Buffer read [QUEUE to SUBMIT],0,1,0.006432
PHASE 1 - opencl_workload_hello_world,hello_world_run,Buffer read [SUBMIT to START],0,1,0.004064
PHASE 1 - opencl_workload_hello_world,hello_world_run,Buffer read [QUEUE to END],0,1,0.011488
PHASE 1 - opencl_workload_hello_world,hello_world_run,Buffer read [EXECUTION],0,0,0.000992
PHASE 1 - opencl_workload_hello_world,hello_world_run,hello_world_run,1,0,0.108834
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.00531
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.000922
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.00023
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.000211
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.00019
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.000201
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.00019
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.00019
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.00023
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.00019
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.0002
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.00019
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.000191
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.00019
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.000201
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.00019
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.00019
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.00019
