PHASE 2 - opencl_workload_add_matrix,add_matrix_initialize,Pipeline | matrix one write [QUEUE to SUBMIT],0,1,0.000566
PHASE 2 - opencl_workload_add_matrix,add_matrix_initialize,Pipeline | matrix one write [QUEUE to SUBMIT],0,1,0.000792
PHASE 2 - opencl_workload_add_matrix,add_matrix_initialize,Pipeline | matrix one write [QUEUE to SUBMIT],0,1,0.000563
PHASE 2 - opencl_workload_add_matrix,add_matrix_initialize,Pipeline | matrix one write [QUEUE to SUBMIT],0,1,0.000556
PHASE 2 - opencl_workload_add_matrix,add_matrix_initialize,Pipeline | matrix one write [QUEUE to SUBMIT],0,1,0.000545
PHASE 2 - opencl_workload_add_matrix,add_matrix_initialize,Pipeline | matrix one write [QUEUE to SUBMIT],0,1,0.000547
PHASE 2 - opencl_workload_add_matrix,add_matrix_initialize,Pipeline | matrix one write [QUEUE to SUBMIT],0,1,0.000562
PHASE 2 - opencl_workload_add_matrix,add_matrix_initialize,Pipeline | matrix one write [QUEUE to SUBMIT],0,1,0.000512
PHASE 2 - opencl_workload_add_matrix,add_matrix_initialize,Pipeline | matrix one write [QUEUE to SUBMIT],0,1,0.000563
PHASE 2 - opencl_workload_add_matrix,add_matrix_initialize,Pipeline | matrix one write [QUEUE to SUBMIT],0,1,0.000572
PHASE 2 - opencl_workload_add_matrix,add_matrix_initialize,Pipeline | matrix one write [QUEUE to SUBMIT],0,1,0.000559
PHASE 2 - opencl_workload_add_matrix,add_matrix_initialize,Pipeline | matrix one write [QUEUE to SUBMIT],0,1,0.000509
PHASE 2 - opencl_workload_add_matrix,add_matrix_initialize,Pipeline | matrix one write [QUEUE to SUBMIT],0,1,0.000507
PHASE 2 - opencl_workload_add_matrix,add_matrix_initialize,Pipeline | matrix one write [QUEUE to SUBMIT],0,1,0.000545
PHASE 2 - opencl_workload_add_matrix,add_matrix_initialize,Pipeline | matrix one write [QUEUE to SUBMIT],0,1,0.000506
PHASE 2 - opencl_workload_add_matrix,add_matrix_initialize,Pipeline | matrix one write [QUEUE to SUBMIT],0,1,0.000445
PHASE 2 - opencl_workload_add_matrix,add_matrix_initialize,Pipeline | matrix one write [QUEUE to SUBMIT],0,1,0.000511
PHASE 2 - opencl_workload_add_matrix,add_matrix_initialize,Pipeline | matrix one write [QUEUE to SUBMIT],0,1,0.000503
PHASE 2 - opencl_workload_add_matrix,add_matrix_initialize,Pipeline | matrix one write [QUEUE to SUBMIT],0,1,0.000577
