PHASE 1 - opencl_workload_hello_world,hello_world_load,hello_world_load,1,0,96.1457
PHASE 1 - opencl_workload_hello_world,hello_world_setup,hello_world_setup,1,0,0.003596
PHASE 1 - opencl_workload_hello_world,hello_world_run,Kernel execution [QUEUE to SUBMIT],0,1,0.00272
PHASE 1 - opencl_workload_hello_world,hello_world_run,Kernel execution [SUBMIT to START],0,1,0.004832
PHASE 1 - opencl_workload_hello_world,hello_world_run,Kernel execution [QUEUE to END],0,1,0.023072
PHASE 1 - opencl_workload_hello_world,hello_world_run,Kernel execution [EXECUTION],0,0,0.01552
PHASE 1 - opencl_workload_hello_world,hello_world_run,Buffer read [QUEUE to SUBMIT],0,1,0.006496
PHASE 1 - opencl_workload_hello_world,hello_world_run,Buffer read [SUBMIT to START],0,1,0.013632
PHASE 1 - opencl_workload_hello_world,hello_world_run,Buffer read [QUEUE to END],0,1,0.02112
PHASE 1 - opencl_workload_hello_world,hello_world_run,Buffer read [EXECUTION],0,0,0.000992
PHASE 1 - opencl_workload_hello_world,hello_world_run,hello_world_run,1,0,0.1331
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.004077
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.000581
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.00026
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.00019
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.0002
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.000211
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.0002
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.000191
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.00019
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.000201
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.00019
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.0002
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.00018
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.0002
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.000191
PHASE 2 - cpu_add_matrix,add_matrix,add_matrix,1,0,0.00019
